제목,날짜,작성자,작성일,댓글
"[인터뷰] 정세균 ""대선 출마 위해 재보선 뒤 총리 사임…대통령께 오래전 양해받아""",2021-04-19 21:14:00,김***기,2021-04-20 11:00:04,"고생은 정세균,문재인등 몇분이 하시고
달콤한 열매는 이상직, 김우남, 김어준등 잡배들이 따먹고 있네.

역사를 봐도 어디나 그럽 잡배들이 꼬이기 마련!"
"[인터뷰] 정세균 ""대선 출마 위해 재보선 뒤 총리 사임…대통령께 오래전 양해받아""",2021-04-19 21:14:00,홍***락,2021-04-20 02:31:37,성낭 민심은 저버리고 대선출마라...
"[JTBC 여론조사]재보선 이후 첫조사, 윤석열 36.3%, 이재명 23.5%, 이낙연 12.3%",2021-04-12 19:06:00,김***철,2021-04-12 21:33:19,조중동과 리얼미터를 믿어? 그 거품 빠지는걸 보여주지
"[JTBC 여론조사]재보선 이후 첫조사, 윤석열 36.3%, 이재명 23.5%, 이낙연 12.3%",2021-04-12 19:06:00,한***우,2021-04-12 19:41:08,세상에나 저분이 대통령이 된다굽쇼??
"[JTBC 여론조사]재보선 이후 첫조사, 윤석열 36.3%, 이재명 23.5%, 이낙연 12.3%",2021-04-12 19:06:00,조***영,2021-04-12 19:37:55,대선주자 1위가... 대한민국을 위해 무엇을 했는지 도무지 알 수가 없으니... 쩝...
"[JTBC 여론조사]재보선 이후 첫조사, 윤석열 36.3%, 이재명 23.5%, 이낙연 12.3%",2021-04-12 19:06:00,1***y,2021-04-12 19:24:28,그만 좀 띄워 개역겨워
'내년 3·9 대선' 초반 판세 JTBC 첫 여론조사…윤석열 36.3%,2021-04-13 07:57:00,김***숙,2021-04-18 22:30:40,"윤석열은 똥이다
나는 이재명을 지지한다"
'내년 3·9 대선' 초반 판세 JTBC 첫 여론조사…윤석열 36.3%,2021-04-13 07:57:00,J***n,2021-04-16 01:07:09,"""타성에 젖지 않고, 늘 겸손하게..."" 이희정 정치부 기자, 웃기지 좀 말고, 기자라고 하지도 말고... 기레기가 정답. 검새 윤석열이가 대통령 후보로 오르내릴 때, 정말 참담하고 민망한 국민들은 생각해 봤나? 홍씨가 그렇게 띄우라 하던? 수구 족벌 언론 사주의 노예일뿐, 기자는 무슨... 나같으면 쪽팔려서라도 그 사진 내린다."
'내년 3·9 대선' 초반 판세 JTBC 첫 여론조사…윤석열 36.3%,2021-04-13 07:57:00,J***n,2021-04-16 01:02:06,윤석열 대통령 후보로 띄워주기에 열혈한 Fucking JTBC. 홍석현이 그렇게 시키더냐? 족벌 독재 사주에 노예가 되어 버린 JTBC의 기레기들... 옛날 니들 선배들은 반항이라도 했지. ㅉㅉ 한심한 JTBC.
[JTBC 여론조사] 대선주자 선호도 윤석열 36.3%…양자대결도 '여유',2021-04-12 19:52:00,동***이,2021-04-13 07:40:58,인터넷 신문은 날짜와 시간외에는 믿을게 없댜는데(드라마에 나와)
[JTBC 여론조사] 대선주자 선호도 윤석열 36.3%…양자대결도 '여유',2021-04-12 19:52:00,c***2,2021-04-13 05:58:14,"선호도가 딱 ... 어느 지역 인구 비율이네.. 저런 범죄자 집안 인간들도 대통령 될 수 있는 지역... 이번에, 그 지역 시장 뽑은거 봐라..!! 온갖 잡질로 돈만 챙기던 놈이나 뽑고.. 참, 저 지역 수준은 어떻게 하니... 박정희 전두환이 독재의 단물만 빨던 인간들... 싸나이? 개가 웃는다.."
[JTBC 여론조사] 대선주자 선호도 윤석열 36.3%…양자대결도 '여유',2021-04-12 19:52:00,f***7,2021-04-13 02:08:53,밑에 대깨들 논리가 없노 윤석열 일개 검사였는데 우파 세력과 전직대통령 두명과 깜빵넣은 공으로 검찰총장 낙하산으로 꼽아주고 키워준게 문재인이란걸 모르나? 대가리에 두부만 들었나 ㅋ 대깨들 풉 일개 검사가 대통령감이 아니라고? 그럼 경희대정도 나와데모 흉내내다 변호사 하던 문재인은 대통령 감이야? ㅋ 사시패스도 검사 커트라인이 변호사 보다 위이고 학벌도 위이고 문재인덕에 총장까지 했는데?대깨들때문에 국민이 정신차리네 ㅋ 대깨들화이팅
[JTBC 여론조사] 대선주자 선호도 윤석열 36.3%…양자대결도 '여유',2021-04-12 19:52:00,f***7,2021-04-13 01:59:04,이낙연은 문재인과 함께 침몰해 제거 될각이고 이재명은 대깨등르 떠않아야 될텐데 점점 대깨들은 침몰각이라 대깨랑 한배탔다간 좌익 자체가 박멸될거고.. 중도 전후를 꽉잡은 윤석열이 그나마 여유롭구나.
[JTBC 여론조사] 대선주자 선호도 윤석열 36.3%…양자대결도 '여유',2021-04-12 19:52:00,h***0,2021-04-13 01:19:36,"국민의 수준이 이지경이 된게 누구 때문인가?
일개 검사가 대통령감이라니.... 이 사람이 데체 누구란 말인가?
한탄스럽고, 한심스러원진다."
[JTBC 여론조사] 대선주자 선호도 윤석열 36.3%…양자대결도 '여유',2021-04-12 19:52:00,h***0,2021-04-13 01:17:09,"도데체 국민의 수준이 이 모양이된게 누구 때문인가? 한탄스럽고 수치스럽다.
일개 검사가 대통령감이라니....? 한심하다."
[JTBC 여론조사] 대선주자 선호도 윤석열 36.3%…양자대결도 '여유',2021-04-12 19:52:00,o***0,2021-04-13 01:02:15,자 문이란 세력은 결국명분만 채기려다 이도저도 안된 댐빵하다 막판에 LH아킬레스로 머된정권이다... 그렇다구 야인들이 멋지게 잘한것도 없다... 정신차려라 여든 야든 정치하는것들은 세금으로 대신 일하는 노비다 그걸 마치 희롱하듯 또 쑈를한다..정신차려라...정치하는것들은 여든야든 다 우리편이아니란것을..바보같이 아직도 선그려구 뇌를 소모하지마라..
[JTBC 여론조사] 대선주자 선호도 윤석열 36.3%…양자대결도 '여유',2021-04-12 19:52:00,k***3,2021-04-12 23:51:32,"윤석열 전 검찰총장, 조국 전 장관 처럼 장모 부인 본인 범죄, 70곳 이상 압수수색 사법처리 했다면 윤석열 본인 부인 장모 몽땅 감방에 쳐박혀 있을 것으로 확신한다."
[JTBC 여론조사] 대선주자 선호도 윤석열 36.3%…양자대결도 '여유',2021-04-12 19:52:00,이***석,2021-04-12 23:03:24,이재명은 혜경궁김씨 사건으로 친문이 죽이려고할때 그냥 탈당해서 정의당이나 국민의당으로 갔으면 지금보다 훨씬 전망 좋았을거다. 지금 민주당에서 백날 친문한테 아부해봐야 친문이 대선후볼 안 밀어준다. 정동영하고 이명박 매치할때도 친문들이 도와주지도 않았다. 친문패권주의는 자기들편이 권력 못잡으면 차라리 상대당에게 권력주는게 낫다라는 생각을 가진 비정상적인 사람들이다.
[JTBC 여론조사] 대선주자 선호도 윤석열 36.3%…양자대결도 '여유',2021-04-12 19:52:00,김***기,2021-04-12 22:05:33,"(외톨이참새)
어리석은 진보들....아니 친문들.
내가 예측한 정치가 꼭맞아들어가는군...
내가 거듭거듭 강조했듯이 니들은 명박이보다 더 모진자를 맞이하게 될거야...
내말이 의심스러우면 내아이디를 정치기사 5개월전부터 검색해보라.
니들은 콧방구를 뀌겠지만, 이젠 재명이도 장담을 못하는 사태까지 왔다.
니들은 이제 사즉생의 심정으로 재명이에게 기대를 하겠지만....
과연 친문과 문통정치의 증오표심을 이길수가 있을까 ?"
[JTBC 여론조사] 대선주자 선호도 윤석열 36.3%…양자대결도 '여유',2021-04-12 19:52:00,박***안,2021-04-12 21:53:05,윤가가 할수있는것은 범죄자잡는거하고 없는죄도 만드는거외 뭘할수있을까
[JTBC 여론조사] 대선주자 선호도 윤석열 36.3%…양자대결도 '여유',2021-04-12 19:52:00,A***n,2021-04-12 21:44:48,"나라가 망하는 방법인가?
어디 방글라데시 후진국도 아니고 대한민국 수준 개허접이네"
[JTBC 여론조사] 대선주자 선호도 윤석열 36.3%…양자대결도 '여유',2021-04-12 19:52:00,한***우,2021-04-12 21:36:12,ㅋㅋㅋJTBC 왜이러냥. 손석희 내려가더니 ;;
[JTBC 여론조사] 대선주자 선호도 윤석열 36.3%…양자대결도 '여유',2021-04-12 19:52:00,J***g,2021-04-12 21:24:08,JTBC도 진즉에 기레기 반열에 올랐구나...
"[백브리핑] 권투영상 올리며 ""마지막에 웃는 자는?""…'링에 오르기 전'",2021-04-29 21:11:00,토***리,2021-05-03 11:22:42,썩은것들 지금 판세를 못읽는것인가? 적폐들의 한끼 식사거리들이 밥그릇 싸움이라니... 한심타
'지지율 1위' 윤석열의 딜레마…대선주자 비호감도 1위,2021-04-14 08:17:00,c***2,2021-04-14 14:37:17,"니 장모랑 와이프 유죄 나올텐데.. 어쩌니? 지지율? 그거 다 뻥이야... 니 돈 많이 쓰,고 찌그러져라...ㅋㅋ"
[비하인드+] 본격 표심 공략 나선 민주당…'이대남을 잡아라',2021-04-18 20:35:00,c***1,2021-04-19 12:50:05,"박용진 의원, 난 자네를 지금까지 지지해왔으나, 자네가 조국 장관에 대해 하는 말을 들어보면, 자네는 윤석열 패거리에 불과하네. 저들의 조작과 음모에 희생된, 검찰개혁과 나라를 위해 일해온 분을 네놈은 능멸하고, 네놈이 윤석열 꼬붕에 불과함을 스스로 인증했네. 네놈은 민주당 대통령 후보는 고사하고, 민주주의를 말할 자격도 없는 적폐세력의 얼굴마담이 되고 말았네. 썩어빠진 놈아, 모든 것 그만두고 민주당에서 나가라!!!"
[비하인드+] 진중권 vs 김용민 '똘마니 논란' 소송 결말은,2021-04-25 20:19:00,c***2,2021-04-26 12:14:57,정치인도 아니고.. 학자도 아니고.. 그냥 그런 인간이... 사람들 관심 좀 받으려고 애쓴다.. 불쌍하다..
"'침묵' 청와대, 국정 운영 차질 우려…대선 국면 가나",2021-04-08 08:06:00,安***],2021-04-08 11:05:37,"누가 뭐래도 문제인 대통령님 덕분에 나라가 나라 다워 졌다.

국민모두가 과거를 잃으면 군사독재시대로 회계할수 있음을 명심 하시길..........."
"'침묵' 청와대, 국정 운영 차질 우려…대선 국면 가나",2021-04-08 08:06:00,d***8,2021-04-08 10:49:09,솔직히 LH는 어느당이 집권하던 터질문제였음.. 아직도 숨어있는 적폐가 있다. 없을 리가 없지. 앞으로 계속 적폐 없애나가자
"'침묵' 청와대, 국정 운영 차질 우려…대선 국면 가나",2021-04-08 08:06:00,安***],2021-04-08 10:37:16,"누가 뭐래도 문제인 대통령님 덕분에 나라가 나라 다워 졌다.

국민모두가 과거를 잃으면 군사독재시대로 회계할수 있음을 명심 하시길..........."
"'침묵' 청와대, 국정 운영 차질 우려…대선 국면 가나",2021-04-08 08:06:00,y***y,2021-04-08 09:43:17,현명한 국민이 정치 지도자들을 리드해야만 한다. 오만방자 & 불손한 여당의 태도에 대한 국민의 회초리다. 재보궐선거 결과를 보고 깨달고 국민의 눈 높이로 볼수있기를 바란다. 다시한번 정권을 잡고 싶다면 정부여당을 통렬한 자기반성의 자세로 취해야 할것이라 생각한다. 왜? 야당이 잘해서 표를준게 아니라 여당이 못해서 야당에 표를 준것이기 때문에!!
대선 1년 앞둔 '전초전'…존재감 드러내는 '잠룡들',2021-03-27 19:30:00,y***6,2021-03-28 10:09:29,이번 서울 보선은 실패한 전서울 시장이 출마했음에도--국힘에 유리한것은 안철수와손을 잡고 선거에 임했고--둘째는 민주당의원 의 숫자로의 오만과독선이부른--부동산정책의 실패에 있다고 본다.
"[JTBC 여론조사②] ""대통령감 절대 아니다"" 1위도 윤석열",2021-04-13 17:56:00,박***3,2021-04-14 07:57:33,"답은 명확합니다.
이낙연입니다.
호불호는 순간이구요.
사람의 됨됨이가 최종 답안입니다.
우리는 이낙연이라면
믿고 갑시다."
"[JTBC 여론조사②] ""대통령감 절대 아니다"" 1위도 윤석열",2021-04-13 17:56:00,f***7,2021-04-13 19:20:01,대한민국 20~30프로 극좌익 설문조사 ㅋㅋㅋ
"[JTBC 여론조사②] ""대통령감 절대 아니다"" 1위도 윤석열",2021-04-13 17:56:00,정***훈,2021-04-13 19:14:58,"니들이 싫다고 해 봐야 대세는 변하지 않는다. 우리나라는 일부 강성 민주당 지지자들의 나라가 아니다. 중도의 의견이 제일 중요하고, 그들의 의견이 곧 국가의 길이 된다."
"다음 대통령은? ""이재명 25%, 윤석열 23%""",2021-03-18 15:54:00,c***2,2021-04-01 15:00:16,장모.. 마누라 사식이나 준비해라.. 범죄자 집안
"다음 대통령은? ""이재명 25%, 윤석열 23%""",2021-03-18 15:54:00,무***심,2021-03-18 17:35:47,조금 더 있으면 기름기 쫘`악 빠지지 않을까 생각된다
"윤석열, 사퇴 후 이재명 제쳤다…대권 적합도 '1위'",2021-03-08 11:32:00,박***민,2021-03-08 23:50:50,"ㅋㅋㅋ 가짜보수언론에서 언론플레이하네 ㅋㅋㅋ 이사람이 왜 대권후보 1위인데???
아직도 국민을 호구로 보는가?? 기레기들아 ㅋㅋ 그러니 민주당한테 안되는거다
시도민을 위한 행정정책을 내봤나?? 해외 외교정책을 내봤나?? 사람한테 충성을 안한다는게 아니고 가짜보수에 완전 충성질인데 올바른사람한테 충성을 안하는 반역자새끼를???
적당히좀 해라 대구,경북 사람들은 정신좀 차리고 대구사람으로 부끄럽다 부끄러워 어휴 병신들이 너무 많아서"
"윤석열, 사퇴 후 이재명 제쳤다…대권 적합도 '1위'",2021-03-08 11:32:00,솔***몰,2021-03-08 17:10:41,"참 똥강아지가 웃겠다
우하하하하하~~~~
기레기들은 역시 기레기들이다
아고 네 참 어이가 없데이
썩렬이가 대권지지 1등이라꼬 카네"
"윤석열, 사퇴 후 이재명 제쳤다…대권 적합도 '1위'",2021-03-08 11:32:00,D***g,2021-03-08 16:39:45,기레기...ㅋㅋㅋ
"윤석열, 사퇴 후 이재명 제쳤다…대권 적합도 '1위'",2021-03-08 11:32:00,S***N,2021-03-08 16:05:08,뭥미?? 이 사람이 뭘 한게 있다고 1위??? 지나가는 개가 웃겠다^^.......
"윤석열, 사퇴 후 이재명 제쳤다…대권 적합도 '1위'",2021-03-08 11:32:00,박***일,2021-03-08 16:01:43,도대체 이사람이 뭘했다고 대권1위야? 뭘했는데?
"윤석열, 사퇴 후 이재명 제쳤다…대권 적합도 '1위'",2021-03-08 11:32:00,H***k,2021-03-08 15:49:28,ㅋㅋㅋ 개가 웃겠다.
"윤석열, 사퇴 후 이재명 제쳤다…대권 적합도 '1위'",2021-03-08 11:32:00,a***m,2021-03-08 15:19:59,"어뜨케든 여론몰이 하려고 애쓴다. 요즘 대한민국국민이 이런 쓰레기 찌라시를 믿고 따르지 않는다는거 앞서서 한번도 아니고 여러번 보여줬는데도 저 난리들이냐. 당대표라는 인간이 가짜뉴스를 아무런 윤리의식 없이 막 하고 다니고..대한민국이 탑골공원에서 정치하고 있다고 언제까지 믿을라고 그러는건지 한심하다.
문재인정권이 절대적으로 잘하고 있다라고 생각하는건 나도 좀 그렇지만,
상대적으로는 확실히 낫다. 저 탑골공원의 국짐당은 도무지 아니다."
"윤석열, 사퇴 후 이재명 제쳤다…대권 적합도 '1위'",2021-03-08 11:32:00,u***2,2021-03-08 15:18:34,"이재명보다 나을 게 하나 없는 윤석열이 대선 후보 1위라고? 이재명은 정책이라도 잘 펴고 있는데, 윤석열은 정치도 한 적 없고 검찰에서만 계속 있었는데 그 사람이 대통령이 된다고 생각하면......... 어우, 끔찍해."
"윤석열, 사퇴 후 이재명 제쳤다…대권 적합도 '1위'",2021-03-08 11:32:00,곽***산,2021-03-08 14:27:31,사퇴했다고.. 17%가 순식간에 올랐다고? 도대체 여론조사를 어떻게 했길래... 표본과 질문방식이 궁금해지는군요.. 홍보광고로 느껴지는뎅.... 검찰이 법치위기 운운하는게.. 참... 어이없던데..
"윤석열, 사퇴 후 이재명 제쳤다…대권 적합도 '1위'",2021-03-08 11:32:00,c***1,2021-03-08 14:18:12,정신 챙그려라...대선후 검찰 출석 준비나 하고...역시 윤이네...
"윤석열, 사퇴 후 이재명 제쳤다…대권 적합도 '1위'",2021-03-08 11:32:00,c***1,2021-03-08 14:16:45,이걸 이제 알았냐? 대선후 벌써 떨고 있을 인간들 많을걸...ㅍㅎㅎㅎ
"윤석열, 사퇴 후 이재명 제쳤다…대권 적합도 '1위'",2021-03-08 11:32:00,김***철,2021-03-08 14:15:39,순자를 모시듯 순실이를 모시듯 이젠 누굴 영접할 준비를 해야하나? 대~한민국. 짝짝짝.
"윤석열, 사퇴 후 이재명 제쳤다…대권 적합도 '1위'",2021-03-08 11:32:00,M***m,2021-03-08 14:13:47,"이것도 조사라고,,,, 빠냐?"
"윤석열, 사퇴 후 이재명 제쳤다…대권 적합도 '1위'",2021-03-08 11:32:00,c***2,2021-03-08 14:12:09,딱.... 경상도 인구 수네...ㅋㅋㅋㅋㅋㅋ
"윤석열, 사퇴 후 이재명 제쳤다…대권 적합도 '1위'",2021-03-08 11:32:00,s***5,2021-03-08 13:56:14,포렌식하면 다 나옵니다. 어차피 장모 마누라 구속되면 끝!
"윤석열, 사퇴 후 이재명 제쳤다…대권 적합도 '1위'",2021-03-08 11:32:00,q***m,2021-03-08 13:42:19,조사 어디서 했냐? ㅋㅋㅋㅋ 어디서 약을팔아....
"윤석열, 사퇴 후 이재명 제쳤다…대권 적합도 '1위'",2021-03-08 11:32:00,S***g,2021-03-08 13:36:48,일단 장모와 여편네를 먼저 재판을 받아야한다. 사기꾼들한테 나라를 맡기는 것은 국민들의 잘못돤 인식이다. 언론은 윤석렬이를 몰아주고 무엇을 딜 했는지 조사하여야한다. 나쁜인간들이 아직 너무 많다.
"윤석열, 사퇴 후 이재명 제쳤다…대권 적합도 '1위'",2021-03-08 11:32:00,1***y,2021-03-08 13:04:08,"기레기들.신난게.눈에 보여서 웃김 ㅋㅋㅋ
기레기들의.대통령 검찰당 윤돼지"
"윤석열, 사퇴 후 이재명 제쳤다…대권 적합도 '1위'",2021-03-08 11:32:00,강***영,2021-03-08 12:59:26,역시 근혜잔당은 암생각없는 노예들.박근혜 잡아넣은 석열이를 지지하다니.역시 개돼지라 들어도 좋탄다...헐...국암당 노비들..
"윤석열, 사퇴 후 이재명 제쳤다…대권 적합도 '1위'",2021-03-08 11:32:00,황***하,2021-03-08 12:57:48,어디서 조사했길래 저런결과를. 이해가 안되네.
"윤석열, 사퇴 후 이재명 제쳤다…대권 적합도 '1위'",2021-03-08 11:32:00,A***n,2021-03-08 12:54:47,이런 조사 한두번이냐 ㅋㅋㅋ 이젠 식상하다
"윤석열, 사퇴 후 이재명 제쳤다…대권 적합도 '1위'",2021-03-08 11:32:00,악***1,2021-03-08 12:40:31,"가화만사성, 목표 주의자, 검찰 주의자, 편가르기, 몰염치 , 이런사람이 어찌 검증을 넘어 설까? 청문회처럼 그냥 나중을 봐라 내가 잘 하겠다 뭐 그렇게......."
"윤석열, 사퇴 후 이재명 제쳤다…대권 적합도 '1위'",2021-03-08 11:32:00,k***5,2021-03-08 12:18:06,"정치에 '정'자도 경험한 바 없는 고집불통이 정치를 한다고?
검찰정치, 오기정치, 보복정치, 이명박정치, 트럼프정치를 보고 싶으면 실컷 지지하라고 그래! 울 나라 민주주의 박살! 일제 향수병에 걸린 세력들이 다시 이나라에서 준동하는 것을 원하면!!"
네거티브로 덮인 선거전에 '막말 경계령'…여야 공방 계속,2021-03-29 19:33:00,장***원,2021-03-29 21:03:59,"0.1% 이수봉, 박영선 오세훈 3자 토론 규탄한다.
국민 추천 3위 허경영 빼지마라!!!"
"재보선 '야당 압승'인데…뚝 떨어진 윤석열 지지율, 왜?",2021-04-09 07:57:00,J***n,2021-04-16 00:57:35,"JTBC, 니들이 제정신이면 윤석열 띄우는 짓 그만해라. 홍씨가 그렇게 지키더냐? 어용언론 Fucking JTBC. 니들이나 좃선이나 그 수준이 그 수준. 크게 실망이다."
"재보선 '야당 압승'인데…뚝 떨어진 윤석열 지지율, 왜?",2021-04-09 07:57:00,최***채,2021-04-09 10:28:57,"분양권신청자 자격(국민주택,민영주택)을 무주택자에게만 부여하고 1주택자는 분양권 당첨후 6개월이내에 매매하되 미 이행시 분양권 당첨을 취소하면 됩니다 그리고 임대사업자에게 혜택을 부여하지 않으면 되구요 미분양시 임대사업자에게 세금 혜택을 줘서 공공주택(아파트) 비 증가 요인이 되었습니다 국회의원님 욕심을 비우고 진심으로 서민과 집없는 국민을 위한 정치를 하시길 기원합니다 국회의워님 이익에 부합되는 법안도 즉시 발의하여 제정하시죠 이해충돌방지법 부터 발의하여 제정하시죠 요즘 이 법에 관하여 침묵하신것 같습니다 더불어민주당이 정권을 유지할려면 진심으로 국민을 위한 정치를 해야합니다 그래서 국민은 국회의원을 180석 만들어 준것인데 요즘 역할을 충분히 하지 못하고 제자리만 지키고 있는것 같구요 이런 기회는 평생 오질 않을것이며 앞으로 없을것입니다"
"""1주일에 1천여만원 든다는데""…윤석열 '러브콜' 시작한 국민의힘",2021-04-09 13:52:00,김***기,2021-04-09 16:16:12,"(외톨이참새)
석열이에게 러브콜을 보낸다고 ?
나의 아이디댓글을 본 댓글러들은 잘알고있을것이다.
불과1년전만 하여도 진보댓글을 썼었다는것을...
하지만 문통정치에 구역질이나서 수꼴로 돌아섰었지.
하지만 야당에 아무리 인물이 없기로서니... 석열이는 너무 아니지.
그건 스스로 무덤을 파는격이야....
남의부모가 자기자식이 말을 잘안듣는다고 이웃사람에게 혼구녕을 내주라고 한다고... 진짜로 눈치없이 때리냐 !! 이 멍청들아...."
"""1주일에 1천여만원 든다는데""…윤석열 '러브콜' 시작한 국민의힘",2021-04-09 13:52:00,y***6,2021-04-09 15:59:16,진심의 정치는 안대표의 정치철학이다...그래야 지지 를 받는다....
"[비하인드+] ""건방지게"" 김종인, 안철수 향해 퍼부은 독설…왜",2021-04-11 20:07:00,박***안,2021-04-12 22:47:15,철수가 토사구팽 당산거같네
"[비하인드+] ""건방지게"" 김종인, 안철수 향해 퍼부은 독설…왜",2021-04-11 20:07:00,k***e,2021-04-12 14:25:11,어서 집에가서 손주나 보시오....
"[비하인드+] ""건방지게"" 김종인, 안철수 향해 퍼부은 독설…왜",2021-04-11 20:07:00,장***중,2021-04-12 11:55:39,"깜도 안되는 정치인들끼로 서로 잘났다고 싸우니...
우습구먼"
"[단독]JTBC 2차 여론조사 오세훈 57.1%, 박영선 36.1%...적극투표층 격차는 줄었다",2021-04-01 17:06:00,f***7,2021-04-01 18:45:54,아직도 지대가리 깨면서 지대가리 골수까지 빨아먹는애들을 잘못된 신념만 앞세워 지지하는 사람들 많네 ㅋㅋㅋ 풉
"윤석열 '공개적' 사전투표…검찰 내부, '정치행보' 첫 비판",2021-04-01 20:12:00,c***2,2021-04-02 15:37:48,"지들 유리한 정권에 입 맞추던 검찰 놈들아.. 이젠 제발 정신 좀 차려라.. 정치 검찰 그만하고... 안 쪽 팔리니... 무슨 니들이 동네 깡패라고, 범죄자 집안 총장 똘마니가 되어, 양아치 짓을 하게...."
"[단독] JTBC 서울시장 여론조사, 야권후보 누가 돼도 과반 지지 확보",2021-03-22 18:02:00,g***6,2021-03-24 14:16:34,"기대된다 ......... 여론조사 지지율 3위 ........허경영 후보가..........박영선, 오세훈과 토론 하는 것이 말이다............."
"[단독] JTBC 서울시장 여론조사, 야권후보 누가 돼도 과반 지지 확보",2021-03-22 18:02:00,한***천,2021-03-24 13:57:49,"여론 조사 잘 못 돼었다.
허경영과 다른 후보를 포함하여 조사하라.
국민재산, 국가재산 도독질하는 기성정당만 후보가 아니다.
그들은 도둑이다.
허경영이 답이다.
무보수 자원봉사 누가 감히 할 수있나?
한번 손들와보라고요!
누가 시민배당금지급 할 수있나, 기존예산에서 절약하여,
누가 1급수를 시민에게 공급 할 수 있나?
누가 보동산 보유세 폐지 할 수있나?
허경여 대통령 되는 날,
우리 국민은 이보다 더큰 혜택을 본다.
기대하시라 국민이여!"
"[단독] JTBC 서울시장 여론조사, 야권후보 누가 돼도 과반 지지 확보",2021-03-22 18:02:00,최***숙,2021-03-24 13:52:49,서울시장 허경영후보를 적극 지지합니다
"[단독] JTBC 서울시장 여론조사, 야권후보 누가 돼도 과반 지지 확보",2021-03-22 18:02:00,천***진,2021-03-24 13:41:09,"여론조사 공정해야한다..
아파트분양가 상한제를 폐지하고 부동산 투자 시장 자율에 연애 결혼 출산 공영제 하고 취수원을 청평댐으로 옮겨 특급수 공급 하고 보유세 상속세를 폐지하고 양적완화 하여 18세부터 1억주고 세금절약 하여 배당금 150이상 지급 하고 징병제 폐지하고 모병제로 해야 주식시장 1억원 미만 거래세 면제해야 공매도 폐지해야 한다..쌍벌죄를 페지 뇌물 받은 자만 처벌하여 부정부패를 차단한다..UN 본부 판문점으로 이전 해야 한다."
